br-dashboard-api  | [03:32:44 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:32:44 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:32:44 INF] Received HTTP response headers after 51.4106ms - 200
br-dashboard-api  | [03:32:44 INF] End processing HTTP request after 52.1588ms - 200
br-dashboard-api  | [03:32:49 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:32:49 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:32:49 INF] Received HTTP response headers after 32.3805ms - 200
br-dashboard-api  | [03:32:49 INF] End processing HTTP request after 32.6494ms - 200
br-dashboard-api  | [03:32:52 INF] HTTP GET /metrics responded 200 in 11.5754 ms
br-dashboard-api  | [03:32:54 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:32:54 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:32:54 INF] Received HTTP response headers after 40.7626ms - 200
br-dashboard-api  | [03:32:54 INF] End processing HTTP request after 41.2719ms - 200
br-dashboard-api  | [03:32:57 INF] HTTP GET /health/live responded 200 in 0.6822 ms
br-dashboard-api  | [03:32:59 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:32:59 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:32:59 INF] Received HTTP response headers after 44.7208ms - 200
br-dashboard-api  | [03:32:59 INF] End processing HTTP request after 45.0741ms - 200
br-dashboard-api  | [03:33:02 INF] HTTP GET /metrics responded 200 in 8.9332 ms
br-dashboard-api  | [03:33:04 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:04 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:04 INF] Received HTTP response headers after 132.8931ms - 200
br-dashboard-api  | [03:33:04 INF] End processing HTTP request after 133.2019ms - 200
br-dashboard-api  | [03:33:09 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:09 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:09 INF] Received HTTP response headers after 33.6696ms - 200
br-dashboard-api  | [03:33:09 INF] End processing HTTP request after 34.1482ms - 200
br-dashboard-api  | [03:33:12 INF] HTTP GET /metrics responded 200 in 8.3130 ms
br-dashboard-api  | [03:33:12 INF] HTTP GET /health/live responded 200 in 0.1970 ms
br-dashboard-api  | [03:33:14 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:14 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:14 INF] Received HTTP response headers after 52.8312ms - 200
br-dashboard-api  | [03:33:14 INF] End processing HTTP request after 53.3774ms - 200
br-dashboard-api  | [03:33:19 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:19 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:19 INF] Received HTTP response headers after 53.939ms - 200
br-dashboard-api  | [03:33:19 INF] End processing HTTP request after 54.2601ms - 200
br-dashboard-api  | [03:33:22 INF] HTTP GET /metrics responded 200 in 9.3309 ms
br-dashboard-api  | [03:33:24 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:24 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:24 INF] Received HTTP response headers after 42.096ms - 200
br-dashboard-api  | [03:33:24 INF] End processing HTTP request after 42.4725ms - 200
br-dashboard-api  | [03:33:27 INF] HTTP GET /health/live responded 200 in 0.1511 ms
br-dashboard-api  | [03:33:29 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:29 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:29 INF] Received HTTP response headers after 84.7337ms - 400
br-dashboard-api  | [03:33:29 INF] End processing HTTP request after 85.2405ms - 400
br-dashboard-api  | [03:33:32 INF] HTTP GET /metrics responded 200 in 8.7692 ms
br-dashboard-api  | [03:33:34 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:34 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:34 INF] Received HTTP response headers after 59.5825ms - 400
br-dashboard-api  | [03:33:34 INF] End processing HTTP request after 59.7998ms - 400
br-dashboard-api  | [03:33:39 INF] Start processing HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:39 INF] Sending HTTP request POST http://elasticsearch:9200/mentions/_search?*
br-dashboard-api  | [03:33:39 INF] Received HTTP response headers after 38.1948ms - 400
